sensor_coder,sensor_type,Value,date_time,farm_id
SENS001,Rainfall,"54,51",2024-07-01 00:00:00,1
SENS002,Temperature,"84,43",2024-07-02 00:00:00,2
SENS003,Humidity,"18,01",2024-07-03 00:00:00,3
SENS004,Temperature,"46,94",2024-07-04 00:00:00,4
SENS005,Temperature,"32,01",2024-07-05 00:00:00,5
SENS006,pH,"72,3",2024-07-06 00:00:00,6
SENS007,pH,"66,81",2024-07-07 00:00:00,7
SENS008,Humidity,"60,53",2024-07-08 00:00:00,8
SENS009,Humidity,"44,26",2024-07-09 00:00:00,9
SENS010,Temperature,"70,36",2024-07-10 00:00:00,10
SENS011,Humidity,"47,75",2024-07-11 00:00:00,11
SENS012,Rainfall,"13,55",2024-07-12 00:00:00,12
SENS013,pH,"44,12",2024-07-13 00:00:00,13
SENS014,Temperature,"77,49",2024-07-14 00:00:00,14
SENS015,Rainfall,"64,3",2024-07-15 00:00:00,15

